,,,,,,,,,ESTADÍSTICA AGRÍCOLA EN DISTRITOS DE RIEGO
,,,,,,,,,AÑO AGRÍCOLA 2019-2020
,,,,,,,,,
CULTIVO,MODALIDAD,DISTRITO,,SUP SEMBRADA,SUP COSECHADA,REND,PRODUCCIÓN,PMR,VALOR DE PROD
,,,,ha,ha,ton/ha,ton,$/ton,$
,,049,"Rio Verde, S.L.P.",  72 ,  72 ,"  10,0 ",  720 ,  8.500 ,  6.120.000 
,,051,"Costa De Hermosillo, Son.",  2.712 ,  2.712 ,"  32,0 ",  86.659 ,  5.561 ,  481.866.564 
,,066,"Sto. Domingo, Bcs.",  9 ,  9 ,"  39,8 ",  358 ,  10.056 ,  3.600.100 
,,084,"Guaymas, Son.",  2.490 ,  2.490 ,"  33,0 ",  82.254 ,  7.166 ,  589.418.964 
,,092A,"Rio Panuco, Unidad Animas.",  111 ,  111 ,"  23,8 ",  2.639 ,  3.558 ,  9.388.105 
,,100,"Alfajayucan, Hgo.",  363 ,  363 ,"  12,3 ",  4.475 ,  7.376 ,  33.006.624 
,,112,"Ajacuba, Hgo.",  23 ,  23 ,"  10,0 ",  230 ,  12.000 ,  2.760.000 
Total Calabacita (calabacín),,,,  7.643 ,  7.643 ,"  27,3 ",  208.706 ,  6.571 ,  1.371.437.865 
Calabaza,,010,"Culiacan-Humaya, Sin.",  770 ,  770 ,"  28,7 ",  22.094 ,  8.238 ,  182.013.753 
,,011,"Alto Rio Lerma, Gto.",  15 ,  15 ,"  8,7 ",  130 ,  4.954 ,  644.000 
,,025,"Bajo Rio Bravo, Tamps.",  8 ,  8 ,"  4,0 ",  32 ,  9.230 ,  295.360 
