,,,,,,,,,ESTADÍSTICA AGRÍCOLA EN DISTRITOS DE RIEGO
,,,,,,,,,AÑO AGRÍCOLA 2019-2020
,,,,,,,,,
CULTIVO,MODALIDAD,DISTRITO,,SUP SEMBRADA,SUP COSECHADA,REND,PRODUCCIÓN,PMR,VALOR DE PROD
,,,,ha,ha,ton/ha,ton,$/ton,$
,,076,"Valle Del Carrizo, Sin.",  169 ,  169 ,"  43,5 ",  7.342 ,  2.500 ,  18.354.825 
,,084,"Guaymas, Son.",  2.847 ,  2.847 ,"  46,7 ",  133.020 ,  2.358 ,  313.595.374 
,,085,"La Begoña, Gto.",  5 ,  5 ,"  25,5 ",  130 ,  2.515 ,  326.962 
,,092A,"Rio Panuco, Unidad Animas.",  731 ,  731 ,"  40,6 ",  29.632 ,  4.000 ,  118.528.000 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  30 ,  30 ,"  40,0 ",  1.200 ,  3.200 ,  3.840.000 
,,093,"Tomatlan, Jal.",  166 ,  162 ,"  46,2 ",  7.488 ,  4.450 ,  33.321.600 
,,094,"Jalisco Sur, Jal.",  58 ,  58 ,"  27,2 ",  1.575 ,  5.000 ,  7.875.000 
,,101,"Cuxtepeques, Chis.",  100 ,  100 ,"  32,0 ",  3.200 ,  4.200 ,  13.440.000 
,,104,"Cuajinicuilapa, Gro.",  15 ,  15 ,"  12,5 ",  188 ,  3.000 ,  562.500 
Total Sandía,,,,  18.139 ,  18.130 ,"  49,6 ",  898.647 ,  3.740 ,  3.361.384.005 
Sorgo Escobero,,004,"Don Martín, N.L.",  12 ,  12 ,"  1,1 ",  13 ,  24.000 ,  308.880 
,,017,"Region Lagunera,Coah.Dgo.",  277 ,  277 ,"  5,2 ",  1.439 ,  6.072 ,  8.737.000 
,,043,"Edo. De Nayarit, Nay.",  21 ,  21 ,"  1,5 ",  32 ,  6.000 ,  189.000 
Total Sorgo Escobero,,,,  309 ,  309 ,"  4,8 ",  1.483 ,  6.226 ,  9.234.880 
Sorgo Forrajero,Verde,004,"Don Martín, N.L.",  866 ,  866 ,"  34,5 ",  29.861 ,  2.000 ,  59.722.722 
,,006,"Palestina, Coah.",  1.964 ,  1.964 ,"  27,5 ",  54.002 ,  570 ,  30.781.311 
,,009,"Cd. Juarez, Chih.",  776 ,  776 ,"  36,6 ",  28.392 ,  700 ,  19.874.400 
,,010,"Culiacan-Humaya, Sin.",  66 ,  66 ,"  35,0 ",  2.310 ,  1.497 ,  3.458.070 
,,014,"Rio Colorado, BC.",  4.926 ,  4.926 ,"  43,0 ",  211.621 ,  695 ,  147.076.567 
,,017,"Region Lagunera,Coah.Dgo.",  16.174 ,  16.174 ,"  46,5 ",  752.727 ,  718 ,  540.089.418 
,,026,"Bajo Rio San Juan, Tamps.",  72 ,  61 ,"  2,8 ",  168 ,  1.000 ,  168.058 
,,031,"Las Lajas, N.L.",  441 ,  339 ,"  4,0 ",  1.354 ,  1.100 ,  1.489.400 
,,037,"Altar Pitiquito, Son.",  3 ,  3 ,"  20,3 ",  61 ,  726 ,  44.117 
,,038,"Rio Mayo, Son.",  43 ,  43 ,"  17,8 ",  774 ,  857 ,  663.643 
,,043,"Edo. De Nayarit, Nay.",  206 ,  206 ,"  23,1 ",  4.753 ,  1.435 ,  6.823.030 
,,050,"Acuña Falcon, Tamps.",  331 ,  331 ,"  36,0 ",  11.929 ,  2.000 ,  23.858.480 
,,053,"Edo. De Colima, Col.",  48 ,  48 ,"  34,7 ",  1.665 ,  511 ,  850.725 
,,057,"Amuco Cutzamala, Gro.",  539 ,  539 ,"  50,7 ",  27.339 ,  746 ,  20.396.922 
,,066,"Sto. Domingo, Bcs.",  43 ,  43 ,"  38,5 ",  1.656 ,  1.350 ,  2.234.925 
,,068,"Tepecoacuilco, Gro.",  33 ,  33 ,"  51,6 ",  1.723 ,  228 ,  392.160 
,,090,"Bajo Rio Conchos, Chih.",  242 ,  242 ,"  71,9 ",  17.415 ,  592 ,  10.317.736 
,,092B,"Rio Panuco, Unidad Chicayán.",  200 ,  200 ,"  36,5 ",  7.300 ,  680 ,  4.964.000 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  147 ,  129 ,"  19,5 ",  2.513 ,  800 ,  2.010.400 
,,093,"Tomatlan, Jal.",  81 ,  80 ,"  60,0 ",  4.800 ,  750 ,  3.600.000 
,,097,"Lazaro Cardenas, Mich.",  868 ,  868 ,"  41,0 ",  35.610 ,  989 ,  35.210.320 
,,103,"Rio Florido, Chih.",  231 ,  231 ,"  44,0 ",  10.183 ,  650 ,  6.618.898 
,,104,"Cuajinicuilapa, Gro.",  18 ,  18 ,"  28,1 ",  493 ,  1.500 ,  738.750 
,,108,"Elota-Piaxtla, Sin.",  89 ,  89 ,"  16,0 ",  1.424 ,  630 ,  897.120 
,,111,"Baluarte-Presidio, Sin.",  400 ,  400 ,"  18,0 ",  7.200 ,  1.100 ,  7.920.000 
Total Sorgo Forrajero,,,,  28.807 ,  28.674 ,"  42,5 ",  1.217.274 ,  764 ,  930.201.172 
Sorgo Grano,,004,"Don Martín, N.L.",  625 ,  625 ,"  4,2 ",  2.629 ,  3.215 ,  8.452.701 
,,008,"Meztitlan, Hgo.",  18 ,  18 ,"  9,0 ",  159 ,  4.631 ,  735.101 
,,010,"Culiacan-Humaya, Sin.",  12.466 ,  12.466 ,"  7,2 ",  89.682 ,  3.433 ,  307.867.545 
,,011,"Alto Rio Lerma, Gto.",  14.406 ,  14.406 ,"  9,3 ",  134.649 ,  4.417 ,  594.777.334 
,,013,"Edo. De Jalisco, Jal.",  618 ,  618 ,"  5,0 ",  3.095 ,  4.100 ,  12.690.935 
,,014,"Rio Colorado, BC.",  2.557 ,  2.557 ,"  4,1 ",  10.356 ,  3.268 ,  33.842.918 
,,016,"Edo.De Morelos, Mor.",  77 ,  77 ,"  8,0 ",  616 ,  4.200 ,  2.587.200 
,,019,"Tehuantepec, Oax.",  784 ,  784 ,"  4,1 ",  3.236 ,  4.000 ,  12.943.800 
,,020,"Morelia, Mich.",  2.983 ,  2.983 ,"  8,5 ",  25.345 ,  4.638 ,  117.562.600 
,,023,"San Juan Del Rio, Qro.",  14 ,  14 ,"  11,9 ",  173 ,  4.100 ,  709.378 
,,024,"Cienega De Chapala, Mich.",  56 ,  56 ,"  8,7 ",  487 ,  5.000 ,  2.437.067 
,,025,"Bajo Rio Bravo, Tamps.",  166.266 ,  165.660 ,"  3,4 ",  571.157 ,  2.925 ,  1.670.633.466 
,,026,"Bajo Rio San Juan, Tamps.",  22.429 ,  21.384 ,"  3,3 ",  69.810 ,  3.300 ,  230.371.589 
,,030,"Valsequillo, Pue.",  577 ,  577 ,"  6,3 ",  3.624 ,  4.307 ,  15.609.182 
,,031,"Las Lajas, N.L.",  566 ,  548 ,"  2,8 ",  1.543 ,  3.300 ,  5.092.718 
,,038,"Rio Mayo, Son.",  66 ,  66 ,"  5,5 ",  361 ,  3.750 ,  1.355.063 
,,041,"Rio Yaqui, Son.",  442 ,  442 ,"  5,5 ",  2.431 ,  3.794 ,  9.222.588 
,,042,"Buenaventura, Chih.",  243 ,  243 ,"  6,0 ",  1.457 ,  3.500 ,  5.100.900 
,,043,"Edo. De Nayarit, Nay.",  248 ,  248 ,"  5,4 ",  1.346 ,  3.434 ,  4.623.220 
,,045,"Tuxpan, Mich.",  88 ,  88 ,"  6,5 ",  572 ,  3.800 ,  2.173.600 
,,051,"Costa De Hermosillo, Son.",  100 ,  100 ,"  4,0 ",  400 ,  4.500 ,  1.800.000 
,,052,"Edo. De Durango, Dgo.",  329 ,  329 ,"  5,6 ",  1.836 ,  3.818 ,  7.010.222 
,,053,"Edo. De Colima, Col.",  39 ,  39 ,"  3,8 ",  150 ,  4.080 ,  612.000 
,,057,"Amuco Cutzamala, Gro.",  4 ,  4 ,"  6,5 ",  26 ,  1.950 ,  50.700 
,,063,"Guasave, Sin.",  12.363 ,  12.363 ,"  6,1 ",  75.538 ,  3.600 ,  271.935.313 
,,066,"Sto. Domingo, Bcs.",  312 ,  312 ,"  6,5 ",  2.028 ,  4.500 ,  9.126.000 
,,074,"Mocorito, Sin.",  6.655 ,  6.655 ,"  7,0 ",  46.428 ,  3.400 ,  157.853.772 
,,075,"Rio Fuerte, Sin.",  26.066 ,  26.066 ,"  8,4 ",  218.631 ,  3.411 ,  745.779.280 
,,076,"Valle Del Carrizo, Sin.",  1.835 ,  1.835 ,"  7,4 ",  13.492 ,  3.650 ,  49.244.515 
,,084,"Guaymas, Son.",  30 ,  30 ,"  4,2 ",  126 ,  4.048 ,  510.057 
,,085,"La Begoña, Gto.",  531 ,  531 ,"  8,5 ",  4.512 ,  4.300 ,  19.400.138 
,,086,"Soto La Marina, Tamps.",  461 ,  461 ,"  3,0 ",  1.389 ,  2.800 ,  3.888.360 
,,087,"Rosario Mezquite, Mich.",  245 ,  245 ,"  8,0 ",  1.960 ,  4.000 ,  7.840.000 
,,092A,"Rio Panuco, Unidad Animas.",  4.677 ,  4.677 ,"  4,3 ",  20.271 ,  3.882 ,  78.696.538 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  11.527 ,  10.785 ,"  2,9 ",  30.752 ,  3.609 ,  110.971.996 
,,094,"Jalisco Sur, Jal.",  22 ,  22 ,"  4,5 ",  97 ,  5.000 ,  484.200 
,,097,"Lazaro Cardenas, Mich.",  3.203 ,  3.203 ,"  6,0 ",  19.062 ,  3.646 ,  69.503.430 
,,101,"Cuxtepeques, Chis.",  50 ,  50 ,"  5,0 ",  250 ,  4.000 ,  1.000.000 
,,108,"Elota-Piaxtla, Sin.",  141 ,  141 ,"  4,5 ",  633 ,  990 ,  626.819 
,,109,"Río San Lorenzo, Sin.",  121 ,  121 ,"  8,1 ",  985 ,  3.606 ,  3.551.438 
,,111,"Baluarte-Presidio, Sin.",  50 ,  50 ,"  7,0 ",  350 ,  3.560 ,  1.246.000 
Total Sorgo Grano,,,,  294.289 ,  291.878 ,"  4,7 ",  1.361.642 ,  3.364 ,  4.579.919.681 
Soya,Industrial,025,"Bajo Rio Bravo, Tamps.",  301 ,  301 ,"  1,8 ",  554 ,  7.100 ,  3.931.022 
,,026,"Bajo Rio San Juan, Tamps.",  150 ,  130 ,"  2,4 ",  309 ,  6.500 ,  2.009.573 
,,041,"Rio Yaqui, Son.",  4.207 ,  4.207 ,"  2,5 ",  10.601 ,  10.003 ,  106.043.668 
,,074,"Mocorito, Sin.",  740 ,  740 ,"  2,2 ",  1.628 ,  8.500 ,  13.838.000 
,,075,"Rio Fuerte, Sin.",  1.254 ,  1.254 ,"  2,9 ",  3.680 ,  8.627 ,  31.748.265 
,,076,"Valle Del Carrizo, Sin.",  4.377 ,  4.377 ,"  2,5 ",  10.723 ,  7.900 ,  84.713.932 
,,092A,"Rio Panuco, Unidad Animas.",  3.729 ,  3.729 ,"  3,1 ",  11.495 ,  7.237 ,  83.185.779 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  7.900 ,  7.371 ,"  1,6 ",  11.808 ,  8.500 ,  100.367.404 
Total Soya,,,,  22.657 ,  22.108 ,"  2,3 ",  50.798 ,  8.383 ,  425.837.641 
Sudan (Zacate),Verde,009,"Cd. Juarez, Chih.",  168 ,  168 ,"  32,4 ",  5.446 ,  600 ,  3.267.600 
Total Sudan (Zacate),,,,  168 ,  168 ,"  32,4 ",  5.446 ,  600 ,  3.267.600 
Tabaco,,043,"Edo. De Nayarit, Nay.",  3.961 ,  3.961 ,"  2,6 ",  10.281 ,  39.145 ,  402.462.773 
,,060,"El Higo, Ver.",  100 ,  100 ,"  1,3 ",  133 ,  25.000 ,  3.325.000 
Total Tabaco,,,,  4.061 ,  4.061 ,"  2,6 ",  10.414 ,  38.964 ,  405.787.773 
Tamarindo,,053,"Edo. De Colima, Col.",  177 ,  177 ,"  7,0 ",  1.239 ,  10.831 ,  13.419.000 
Total Tamarindo,,,,  177 ,  177 ,"  7,0 ",  1.239 ,  10.831 ,  13.419.000 
Tanzania (Zacate),Verde,045,"Tuxpan, Mich.",  797 ,  797 ,"  60,0 ",  47.820 ,  950 ,  45.429.000 
Total Tanzania (Zacate),,,,  797 ,  797 ,"  60,0 ",  47.820 ,  950 ,  45.429.000 
Tomate de cáscara (Tomatillo),,001,"Pabellón, Ags.",  144 ,  144 ,"  26,3 ",  3.787 ,  2.547 ,  9.644.521 
,,003,"Tula, Hgo.",  237 ,  237 ,"  10,0 ",  2.370 ,  9.200 ,  21.804.000 
,,008,"Meztitlan, Hgo.",  134 ,  134 ,"  24,2 ",  3.245 ,  7.040 ,  22.845.224 
,,010,"Culiacan-Humaya, Sin.",  812 ,  812 ,"  25,0 ",  20.300 ,  5.000 ,  101.500.000 
,,011,"Alto Rio Lerma, Gto.",  954 ,  954 ,"  23,9 ",  22.754 ,  8.642 ,  196.647.183 
,,013,"Edo. De Jalisco, Jal.",  260 ,  260 ,"  20,0 ",  5.201 ,  4.100 ,  21.323.280 
,,014,"Rio Colorado, BC.",  540 ,  540 ,"  20,3 ",  10.949 ,  5.355 ,  58.631.022 
,,016,"Edo.De Morelos, Mor.",  118 ,  118 ,"  15,0 ",  1.770 ,  9.000 ,  15.930.000 
,,034,"Edo. De Zacatecas, Zac.",  131 ,  131 ,"  32,7 ",  4.284 ,  3.936 ,  16.861.741 
,,038,"Rio Mayo, Son.",  369 ,  369 ,"  23,4 ",  8.653 ,  9.230 ,  79.862.936 
,,041,"Rio Yaqui, Son.",  307 ,  307 ,"  22,0 ",  6.743 ,  7.780 ,  52.460.540 
,,043,"Edo. De Nayarit, Nay.",  702 ,  702 ,"  24,0 ",  16.809 ,  3.901 ,  65.573.250 
,,045,"Tuxpan, Mich.",  583 ,  583 ,"  22,2 ",  12.931 ,  4.000 ,  51.724.000 
,,049,"Rio Verde, S.L.P.",  55 ,  55 ,"  12,0 ",  660 ,  7.000 ,  4.620.000 
,,051,"Costa De Hermosillo, Son.",  49 ,  49 ,"  21,3 ",  1.048 ,  8.100 ,  8.488.169 
,,053,"Edo. De Colima, Col.",  130 ,  130 ,"  36,7 ",  4.774 ,  5.625 ,  26.851.622 
,,056,"Atoyac-Zahuapan, Tlax.",  311 ,  311 ,"  5,0 ",  1.555 ,  5.000 ,  7.775.000 
,,063,"Guasave, Sin.",  445 ,  445 ,"  25,3 ",  11.229 ,  12.500 ,  140.362.625 
,,066,"Sto. Domingo, Bcs.",  2 ,  2 ,"  29,0 ",  58 ,  9.650 ,  559.700 
,,068,"Tepecoacuilco, Gro.",  54 ,  54 ,"  12,1 ",  657 ,  3.851 ,  2.530.171 
,,074,"Mocorito, Sin.",  291 ,  291 ,"  19,0 ",  5.537 ,  8.000 ,  44.295.600 
,,075,"Rio Fuerte, Sin.",  1.665 ,  1.665 ,"  35,7 ",  59.394 ,  7.758 ,  460.771.691 
,,076,"Valle Del Carrizo, Sin.",  717 ,  717 ,"  13,5 ",  9.680 ,  13.000 ,  125.837.010 
,,084,"Guaymas, Son.",  119 ,  119 ,"  16,3 ",  1.946 ,  4.891 ,  9.518.859 
,,085,"La Begoña, Gto.",  44 ,  44 ,"  20,9 ",  925 ,  8.372 ,  7.745.400 
,,092A,"Rio Panuco, Unidad Animas.",  91 ,  91 ,"  18,1 ",  1.647 ,  7.000 ,  11.529.000 
,,093,"Tomatlan, Jal.",  146 ,  142 ,"  14,0 ",  1.988 ,  5.950 ,  11.828.600 
,,094,"Jalisco Sur, Jal.",  7 ,  7 ,"  24,6 ",  164 ,  4.665 ,  765.450 
,,097,"Lazaro Cardenas, Mich.",  3 ,  3 ,"  12,0 ",  36 ,  7.500 ,  270.000 
,,100,"Alfajayucan, Hgo.",  395 ,  395 ,"  5,2 ",  2.037 ,  4.996 ,  10.177.965 
,,112,"Ajacuba, Hgo.",  3 ,  3 ,"  10,0 ",  30 ,  9.200 ,  276.000 
Total Tomate de cáscara (Tomatillo),,,,  9.819 ,  9.815 ,"  22,7 ",  223.161 ,  7.120 ,  1.589.010.557 
Toronja (pomelo),,014,"Rio Colorado, BC.",  23 ,  23 ,"  16,6 ",  382 ,  4.479 ,  1.708.960 
,,035,"La Antigua, Ver.",  131 ,  131 ,"  25,0 ",  3.273 ,  3.000 ,  9.818.250 
,,041,"Rio Yaqui, Son.",  300 ,  300 ,"  28,2 ",  8.460 ,  4.942 ,  41.808.612 
,,048,"Ticul, Yuc.",  153 ,  153 ,"  15,7 ",  2.405 ,  2.653 ,  6.380.465 
,,082,"Rio Blanco, Ver.",  34 ,  34 ,"  28,0 ",  952 ,  2.500 ,  2.380.000 
,,097,"Lazaro Cardenas, Mich.",  8.054 ,  8.054 ,"  27,2 ",  219.283 ,  2.415 ,  529.515.250 
Total Toronja (pomelo),,,,  8.694 ,  8.694 ,"  27,0 ",  234.754 ,  2.520 ,  591.611.538 
Trebol,Verde,028,"Tulancingo, Hgo.",  612 ,  612 ,"  100,0 ",  61.200 ,  365 ,  22.338.000 
Total Trebol,,,,  612 ,  612 ,"  100,0 ",  61.200 ,  365 ,  22.338.000 
Trigo Grano,,003,"Tula, Hgo.",  224 ,  224 ,"  6,1 ",  1.368 ,  8.000 ,  10.944.000 
,,004,"Don Martín, N.L.",  609 ,  609 ,"  4,3 ",  2.590 ,  4.620 ,  11.965.569 
,,009,"Cd. Juarez, Chih.",  1.515 ,  1.515 ,"  6,5 ",  9.848 ,  5.000 ,  49.237.500 
,,010,"Culiacan-Humaya, Sin.",  276 ,  276 ,"  5,5 ",  1.521 ,  5.000 ,  7.603.800 
,,011,"Alto Rio Lerma, Gto.",  29.116 ,  29.116 ,"  6,0 ",  176.126 ,  5.590 ,  984.501.300 
,,013,"Edo. De Jalisco, Jal.",  5.549 ,  5.549 ,"  4,9 ",  27.214 ,  4.391 ,  119.507.030 
,,014,"Rio Colorado, BC.",  43.815 ,  43.815 ,"  6,1 ",  269.024 ,  5.452 ,  1.466.625.247 
,,018,"Colonias Yaquis, Son.",  17.383 ,  17.383 ,"  6,8 ",  117.856 ,  4.868 ,  573.727.506 
,,020,"Morelia, Mich.",  1.225 ,  1.225 ,"  4,6 ",  5.673 ,  4.056 ,  23.005.500 
,,023,"San Juan Del Rio, Qro.",  172 ,  172 ,"  5,2 ",  896 ,  5.202 ,  4.661.623 
,,024,"Cienega De Chapala, Mich.",  3.837 ,  3.837 ,"  5,2 ",  19.827 ,  5.433 ,  107.724.205 
,,025,"Bajo Rio Bravo, Tamps.",  10 ,  10 ,"  1,8 ",  18 ,  6.000 ,  110.400 
,,034,"Edo. De Zacatecas, Zac.",  13 ,  13 ,"  5,6 ",  73 ,  5.000 ,  366.800 
,,037,"Altar Pitiquito, Son.",  469 ,  469 ,"  5,7 ",  2.664 ,  4.607 ,  12.273.927 
,,038,"Rio Mayo, Son.",  38.851 ,  38.851 ,"  6,2 ",  240.102 ,  5.579 ,  1.339.529.185 
,,041,"Rio Yaqui, Son.",  124.446 ,  124.446 ,"  6,7 ",  828.810 ,  5.006 ,  4.149.021.328 
,,042,"Buenaventura, Chih.",  202 ,  202 ,"  4,5 ",  909 ,  4.800 ,  4.363.200 
,,045,"Tuxpan, Mich.",  386 ,  386 ,"  6,5 ",  2.509 ,  3.800 ,  9.534.200 
,,051,"Costa De Hermosillo, Son.",  3.826 ,  3.826 ,"  6,8 ",  25.979 ,  4.993 ,  129.707.733 
,,052,"Edo. De Durango, Dgo.",  178 ,  178 ,"  3,6 ",  634 ,  5.407 ,  3.429.375 
,,061,"Zamora, Mich.",  3.014 ,  3.014 ,"  5,2 ",  15.732 ,  4.177 ,  65.711.914 
,,063,"Guasave, Sin.",  4.474 ,  4.474 ,"  4,6 ",  20.575 ,  5.700 ,  117.279.930 
,,066,"Sto. Domingo, Bcs.",  3.847 ,  3.847 ,"  5,5 ",  21.159 ,  5.210 ,  110.235.785 
,,074,"Mocorito, Sin.",  2.825 ,  2.825 ,"  5,3 ",  14.936 ,  4.800 ,  71.692.560 
,,075,"Rio Fuerte, Sin.",  1.598 ,  1.598 ,"  6,3 ",  9.997 ,  4.830 ,  48.282.971 
,,076,"Valle Del Carrizo, Sin.",  54.188 ,  54.188 ,"  5,7 ",  308.871 ,  3.650 ,  1.127.380.092 
,,085,"La Begoña, Gto.",  3 ,  3 ,"  6,0 ",  18 ,  5.800 ,  104.400 
,,087,"Rosario Mezquite, Mich.",  14.283 ,  14.283 ,"  4,4 ",  62.389 ,  4.685 ,  292.293.620 
,,089,"El Carmen, Chih.",  120 ,  120 ,"  5,0 ",  600 ,  4.800 ,  2.880.000 
,,090,"Bajo Rio Conchos, Chih.",  12 ,  12 ,"  1,4 ",  16 ,  3.300 ,  53.460 
,,100,"Alfajayucan, Hgo.",  82 ,  82 ,"  5,5 ",  453 ,  3.800 ,  1.721.400 
,,112,"Ajacuba, Hgo.",  6 ,  6 ,"  6,0 ",  36 ,  8.000 ,  288.000 
Total Trigo Grano,,,,  356.555 ,  356.555 ,"  6,1 ",  2.188.422 ,  4.956 ,  10.845.763.559 
Triticale,,003,"Tula, Hgo.",  104 ,  104 ,"  8,0 ",  832 ,  6.000 ,  4.992.000 
,,052,"Edo. De Durango, Dgo.",  30 ,  30 ,"  2,8 ",  83 ,  6.818 ,  565.050 
,,112,"Ajacuba, Hgo.",  7 ,  7 ,"  8,0 ",  56 ,  6.000 ,  336.000 
Total Triticale,,,,  141 ,  141 ,"  6,9 ",  971 ,  6.070 ,  5.893.050 
Triticale forrajero,Verde,052,"Edo. De Durango, Dgo.",  64 ,  64 ,"  30,6 ",  1.947 ,  2.825 ,  5.499.559 
Total Triticale forrajero,,,,  64 ,  64 ,"  30,6 ",  1.947 ,  2.825 ,  5.499.559 
Vid,Industrial,034,"Edo. De Zacatecas, Zac.",  201 ,  201 ,"  15,0 ",  3.010 ,  6.000 ,  18.059.400 
,Mesa,001,"Pabellón, Ags.",  45 ,  45 ,"  16,2 ",  729 ,  11.608 ,  8.461.940 
,,014,"Rio Colorado, BC.",  59 ,  59 ,"  8,0 ",  473 ,  20.055 ,  9.477.651 
,,017,"Region Lagunera,Coah.Dgo.",  6 ,  6 ,"  7,3 ",  44 ,  2.891 ,  127.200 
,,023,"San Juan Del Rio, Qro.",  33 ,  33 ,"  10,0 ",  334 ,  13.500 ,  4.514.400 
,,037,"Altar Pitiquito, Son.",  6.263 ,  6.263 ,"  14,6 ",  91.186 ,  14.618 ,  1.332.950.169 
,,041,"Rio Yaqui, Son.",  277 ,  277 ,"  16,2 ",  4.491 ,  28.925 ,  129.897.576 
,,051,"Costa De Hermosillo, Son.",  4.431 ,  4.431 ,"  14,0 ",  62.211 ,  20.150 ,  1.253.556.486 
,,084,"Guaymas, Son.",  1.900 ,  1.900 ,"  17,2 ",  32.642 ,  28.004 ,  914.095.143 
Total Vid,,,,  13.215 ,  13.215 ,"  14,8 ",  195.120 ,  18.815 ,  3.671.139.965 
Zacate carretero,Verde,002,"Mante, Tamps.",  1.624 ,  1.624 ,"  14,0 ",  22.812 ,  250 ,  5.703.000 
,,029,"Xicotencatl, Tamps.",  3.790 ,  3.790 ,"  12,1 ",  45.695 ,  300 ,  13.708.500 
,,041,"Rio Yaqui, Son.",  386 ,  386 ,"  39,7 ",  15.309 ,  944 ,  14.451.569 
,,057,"Amuco Cutzamala, Gro.",  301 ,  301 ,"  56,8 ",  17.064 ,  713 ,  12.167.190 
,,086,"Soto La Marina, Tamps.",  5.133 ,  5.133 ,"  22,1 ",  113.542 ,  1.020 ,  115.812.799 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  29.664 ,  28.960 ,"  13,6 ",  392.900 ,  1.200 ,  471.480.000 
Total Zacate carretero,,,,  40.898 ,  40.194 ,"  15,1 ",  607.321 ,  1.043 ,  633.323.058 
Zanahoria,,011,"Alto Rio Lerma, Gto.",  515 ,  515 ,"  35,1 ",  18.090 ,  1.354 ,  24.493.899 
,,014,"Rio Colorado, BC.",  36 ,  36 ,"  26,2 ",  942 ,  7.140 ,  6.728.977 
,,023,"San Juan Del Rio, Qro.",  35 ,  35 ,"  45,9 ",  1.619 ,  3.062 ,  4.956.660 
,,025,"Bajo Rio Bravo, Tamps.",  56 ,  56 ,"  30,0 ",  1.665 ,  6.654 ,  11.078.910 
,,041,"Rio Yaqui, Son.",  247 ,  247 ,"  24,0 ",  5.934 ,  4.622 ,  27.425.839 
,,066,"Sto. Domingo, Bcs.",  4 ,  4 ,"  14,0 ",  56 ,  15.250 ,  854.000 
,,085,"La Begoña, Gto.",  170 ,  170 ,"  24,2 ",  4.105 ,  1.737 ,  7.130.957 
Total Zanahoria,,,,  1.063 ,  1.063 ,"  30,5 ",  32.412 ,  2.551 ,  82.669.243 
Zarzamora,,061,"Zamora, Mich.",  108 ,  108 ,"  18,8 ",  2.035 ,  39.325 ,  80.030.894 
Total Zarzamora,,,,  108 ,  108 ,"  18,8 ",  2.035 ,  39.325 ,  80.030.894 
Zempoalxochitl,Flor,100,"Alfajayucan, Hgo.",  59 ,  59 ,"  6,8 ",  404 ,  8.017 ,  3.238.800 
Total Zempoalxochitl,,,,  59 ,  59 ,"  6,8 ",  404 ,  8.017 ,  3.238.800 
Zempoalxochitl forrajero,Verde,075,"Rio Fuerte, Sin.",  22 ,  22 ,"  19,0 ",  427 ,  2.852 ,  1.218.073 
Total Zempoalxochitl forrajero,,,,  22 ,  22 ,"  19,0 ",  427 ,  2.852 ,  1.218.073 
Total general,,,,  2.881.183 ,  2.867.615 ,"  20,2 ",  57.890.422 ,  3.404 ,  197.053.323.589 
