,,,,,,,,,,,,,,,,SUPERFICIES FÍSICAS REGADAS Y VOLÚMENES DISTRIBUÍDOS
,,,,,,,,,,,,,,,,AÑO AGRÍCOLA 1997-1998
,,,,,,,,,,,,,,,,
DISTRITO,,NUMERO DE CULTIVOS,CONCEPTO,GRAVEDAD-PRESAS,,,GRAVEDAD-DERIVACION,,,BOMBEO CORRIENTES,,,BOMBEO POZOS,,,Total general
,,,,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,
Suma de Volumen Bruto 025,,,,129.338,349.690,479.027,,,,1.593,4.307,5.900,,,,484.928
Lámina Bruta 025,,,,26,26,26,0,0,0,19,19,19,0,0,0,26
026,"Bajo Rio San Juan, Tamps.",1 cultivo,Usuarios,1.145,2.010,3.155,,,,,596,596,,,,3.751
,,,Superficie Física Regada (ha),8.182,45.566,53.748,,,,,6.340,6.340,,,,60.088
,,,Volumen Bruto (miles m3),30.041,171.390,201.431,,,,,21.444,21.444,,,,222.875
,,,Lamina Bruta (cm),37,38,37,0,0,0,0,34,34,0,0,0,37
Suma de Usuarios 026,,,,1.145,2.010,3.155,,,,,596,596,,,,3.751
Suma de Superficie Física Regada 026,,,,8.182,45.566,53.748,,,,,6.340,6.340,,,,60.088
Suma de Volumen Bruto 026,,,,30.041,171.390,201.431,,,,,21.444,21.444,,,,222.875
Lámina Bruta 026,,,,37,38,37,0,0,0,0,34,34,0,0,0,37
028,"Tulancingo, Hgo.",1 cultivo,Usuarios,109,17,126,153,,153,,,,,,,279
,,,Superficie Física Regada (ha),170,57,227,346,,346,,,,,,,573
,,,Volumen Bruto (miles m3),919,366,1.285,11.197,,11.197,,,,,,,12.482
,,,Lamina Bruta (cm),54,64,57,324,0,324,0,0,0,0,0,0,218
,,2 cultivos,Usuarios,,,,1,,1,,,,,,,1
,,,Superficie Física Regada (ha),,,,1,,1,,,,,,,1
,,,Volumen Bruto (miles m3),,,,1,,1,,,,,,,1
,,,Lamina Bruta (cm),0,0,0,26,0,26,0,0,0,0,0,0,26
Suma de Usuarios 028,,,,109,17,126,154,,154,,,,,,,280
Suma de Superficie Física Regada 028,,,,170,57,227,346,,346,,,,,,,573
Suma de Volumen Bruto 028,,,,919,366,1.285,11.198,,11.198,,,,,,,12.483
Lámina Bruta 028,,,,54,64,57,323,0,323,0,0,0,0,0,0,218
029,"Xicotencatl, Tamps.",1 cultivo,Usuarios,658,165,823,166,207,373,,,,,,,1.196
,,,Superficie Física Regada (ha),7.427,2.838,10.265,1.366,5.784,7.150,,,,,,,17.415
,,,Volumen Bruto (miles m3),96.031,36.654,132.685,19.887,87.516,107.403,,,,,,,240.088
,,,Lamina Bruta (cm),129,129,129,146,151,150,0,0,0,0,0,0,138
Suma de Usuarios 029,,,,658,165,823,166,207,373,,,,,,,1.196
Suma de Superficie Física Regada 029,,,,7.427,2.838,10.265,1.366,5.784,7.150,,,,,,,17.415
Suma de Volumen Bruto 029,,,,96.031,36.654,132.685,19.887,87.516,107.403,,,,,,,240.088
Lámina Bruta 029,,,,129,129,129,146,151,150,0,0,0,0,0,0,138
030,"Valsequillo, Pue.",1 cultivo,Usuarios,4.245,4.787,9.032,,,,,,,1.198,1.350,2.548,11.580
,,,Superficie Física Regada (ha),10.424,11.754,22.178,,,,,,,2.813,3.190,6.003,28.181
,,,Volumen Bruto (miles m3),126.927,143.131,270.058,,,,,,,49.115,55.385,104.500,374.558
,,,Lamina Bruta (cm),122,122,122,0,0,0,0,0,0,175,174,174,133
Suma de Usuarios 030,,,,4.245,4.787,9.032,,,,,,,1.198,1.350,2.548,11.580
Suma de Superficie Física Regada 030,,,,10.424,11.754,22.178,,,,,,,2.813,3.190,6.003,28.181
Suma de Volumen Bruto 030,,,,126.927,143.131,270.058,,,,,,,49.115,55.385,104.500,374.558
Lámina Bruta 030,,,,122,122,122,0,0,0,0,0,0,175,174,174,133
031,"Las Lajas, N.L.",1 cultivo,Usuarios,,,,,135,135,,25,25,,,,160
,,,Superficie Física Regada (ha),,,,,1.879,1.879,,502,502,,,,2.381
,,,Volumen Bruto (miles m3),,,,,11.915,11.915,,2.401,2.401,,,,14.316
,,,Lamina Bruta (cm),0,0,0,0,63,63,0,48,48,0,0,0,60
Suma de Usuarios 031,,,,,,,,135,135,,25,25,,,,160
Suma de Superficie Física Regada 031,,,,,,,,1.879,1.879,,502,502,,,,2.381
